日期,时间,合约代码,买/卖,开/平,成交量,成交价,手续费
2025-01-02,14:30:00,001277.SZ,买,-,600.000,39.040,8.168
2025-01-02,14:30:00,000905.SZ,买,-,1100.000,6.890,5.369
2025-01-02,14:30:00,300183.SZ,买,-,800.000,18.160,5.708
2025-01-03,13:45:00,300183.SZ,卖,-,800.000,15.860,18.306
2025-01-03,14:30:00,002190.SZ,买,-,400.000,18.840,5.367
2025-01-03,14:30:00,301439.SZ,买,-,500.000,14.270,5.347
2025-01-03,14:30:00,300541.SZ,买,-,1200.000,12.460,5.728
2025-01-08,13:15:00,300541.SZ,卖,-,1200.000,10.930,18.755
2025-01-15,14:30:00,301329.SZ,买,-,700.000,21.810,5.744
2025-01-16,14:30:00,001277.SZ,卖,-,600.000,37.200,30.103
2025-01-16,14:30:00,603989.SS,买,-,900.000,16.310,5.715
2025-01-21,14:30:00,002190.SZ,卖,-,400.000,17.580,12.374
2025-01-21,14:30:00,603200.SS,买,-,800.000,26.190,7.306
2025-01-23,14:30:00,603200.SS,卖,-,800.000,25.000,26.974
2025-01-23,14:30:00,605058.SS,买,-,400.000,23.160,5.451
2025-01-27,14:30:00,605058.SS,卖,-,400.000,21.890,14.182
2025-01-27,14:30:00,603929.SS,买,-,700.000,29.830,7.281
2025-03-24,13:45:00,603989.SS,卖,-,900.000,15.470,19.601
2025-03-24,14:15:00,301329.SZ,卖,-,700.000,20.590,20.115
2025-03-24,14:30:00,002864.SZ,买,-,700.000,29.660,7.240
2025-03-24,14:30:00,300470.SZ,买,-,600.000,37.640,7.875
2025-04-07,09:45:00,002864.SZ,卖,-,700.000,26.070,24.612
2025-04-07,10:00:00,301439.SZ,卖,-,500.000,13.340,11.995
2025-04-07,13:45:00,300470.SZ,卖,-,600.000,32.720,26.478
2025-04-07,14:30:00,301077.SZ,买,-,200.000,32.650,5.318
2025-04-07,14:30:00,603566.SS,买,-,500.000,12.200,5.297
2025-04-08,13:45:00,603929.SS,卖,-,700.000,28.340,26.756
2025-04-08,14:30:00,002880.SZ,买,-,700.000,33.000,8.055
2025-04-08,14:30:00,301116.SZ,买,-,800.000,14.490,5.565
2025-04-09,14:30:00,301116.SZ,卖,-,800.000,13.890,16.653
2025-04-09,14:30:00,003000.SZ,买,-,900.000,13.330,5.584
2025-04-10,14:30:00,002880.SZ,卖,-,700.000,31.370,29.616
2025-04-10,14:30:00,002216.SZ,买,-,900.000,12.080,5.529
2025-04-11,14:30:00,301077.SZ,卖,-,200.000,30.870,11.475
2025-04-11,14:30:00,001219.SZ,买,-,1600.000,13.860,7.733
2025-05-15,09:45:00,002216.SZ,卖,-,900.000,11.460,15.816
2025-05-15,14:30:00,301489.SZ,买,-,200.000,72.890,5.710
2025-07-15,14:30:00,003000.SZ,卖,-,900.000,12.620,16.911
2025-07-15,14:30:00,603516.SS,买,-,200.000,39.230,5.382
